iter	Passed	Remaining
0	145	145580
1	148	73859
2	150	50157
3	153	38276
4	156	31114
5	160	26616
6	162	23000
7	166	20611
8	169	18659
9	172	17070
10	174	15677
11	175	14490
12	177	13476
13	178	12599
14	180	11843
15	181	11176
16	183	10601
17	185	10097
18	186	9648
19	188	9234
20	190	8862
21	192	8544
22	194	8250
23	196	7985
24	197	7710
25	199	7467
26	200	7243
27	202	7036
28	204	6841
29	205	6657
30	207	6484
31	208	6314
32	210	6155
33	211	6011
34	213	5878
35	214	5752
36	216	5635
37	218	5528
38	220	5423
39	222	5333
40	225	5270
41	228	5204
42	231	5144
43	233	5076
44	236	5021
45	239	4966
46	241	4904
47	244	4842
48	246	4784
49	248	4728
50	251	4682
51	254	4631
52	256	4579
53	258	4524
54	260	4473
55	262	4421
56	264	4378
57	266	4333
58	268	4289
59	270	4245
60	272	4202
61	274	4158
62	276	4112
63	278	4071
64	280	4032
65	281	3989
66	283	3947
67	284	3903
68	286	3862
69	287	3823
70	289	3784
71	290	3744
72	291	3706
73	293	3669
74	294	3635
75	296	3598
76	297	3562
77	298	3526
78	299	3492
79	300	3459
80	302	3426
81	303	3393
82	303	3356
83	304	3324
84	305	3293
85	307	3264
86	308	3237
87	309	3209
88	310	3181
89	311	3152
90	312	3123
91	313	3097
92	315	3074
93	316	3050
94	317	3024
95	318	2998
96	319	2973
97	320	2948
98	321	2924
99	322	2902
100	323	2880
101	324	2858
102	325	2835
103	326	2812
104	327	2789
105	328	2766
106	328	2744
107	329	2723
108	330	2701
109	331	2682
110	332	2662
111	333	2642
112	334	2622
113	334	2602
114	335	2582
115	336	2563
116	337	2543
117	338	2527
118	339	2511
119	339	2492
120	340	2474
121	341	2456
122	342	2439
123	342	2422
124	343	2406
125	344	2390
126	345	2373
127	346	2357
128	346	2342
129	347	2326
130	348	2312
131	349	2296
132	350	2282
133	351	2269
134	352	2257
135	353	2244
136	354	2231
137	355	2218
138	355	2204
139	356	2191
140	357	2178
141	358	2163
142	358	2150
143	359	2137
144	360	2124
145	361	2112
146	362	2101
147	362	2088
148	363	2077
149	364	2066
150	365	2054
151	366	2044
152	367	2034
153	368	2025
154	369	2016
155	370	2005
156	371	1994
157	372	1984
158	373	1973
159	373	1963
160	374	1951
161	375	1940
162	376	1930
163	376	1920
164	377	1910
165	378	1901
166	379	1892
167	380	1882
168	381	1875
169	382	1867
170	383	1859
171	384	1851
172	385	1843
173	386	1834
174	387	1826
175	388	1817
176	389	1808
177	389	1800
178	390	1792
179	391	1783
180	392	1775
181	393	1767
182	394	1759
183	394	1751
184	395	1743
185	396	1735
186	397	1728
187	398	1721
188	400	1716
189	401	1709
190	402	1702
191	402	1695
192	403	1688
193	404	1681
194	405	1674
195	406	1667
196	407	1659
197	408	1652
198	408	1645
199	409	1638
200	410	1632
201	411	1625
202	412	1619
203	413	1614
204	414	1608
205	415	1602
206	416	1595
207	417	1589
208	418	1583
209	419	1577
210	420	1571
211	420	1564
212	421	1558
213	422	1552
214	423	1545
215	424	1539
216	424	1533
217	425	1527
218	426	1521
219	427	1515
220	428	1511
221	429	1505
222	430	1500
223	431	1494
224	432	1488
225	433	1483
226	433	1477
227	434	1471
228	435	1466
229	436	1460
230	437	1455
231	438	1450
232	438	1444
233	439	1439
234	440	1434
235	441	1429
236	442	1424
237	443	1420
238	444	1415
239	445	1409
240	446	1404
241	446	1400
242	447	1394
243	448	1390
244	449	1385
245	450	1380
246	451	1375
247	452	1370
248	452	1366
249	453	1361
250	454	1356
251	455	1352
252	456	1347
253	457	1343
254	458	1339
255	459	1335
256	460	1330
257	461	1326
258	462	1322
259	462	1317
260	463	1313
261	464	1308
262	465	1304
263	466	1300
264	467	1295
265	468	1291
266	468	1287
267	469	1283
268	470	1279
269	471	1275
270	472	1271
271	473	1268
272	474	1264
273	475	1260
274	476	1256
275	477	1252
276	478	1248
277	479	1244
278	480	1240
279	480	1236
280	481	1232
281	482	1228
282	483	1225
283	484	1221
284	485	1217
285	486	1213
286	487	1210
287	488	1207
288	489	1203
289	490	1200
290	491	1196
291	492	1193
292	493	1189
293	493	1185
294	494	1182
295	495	1178
296	496	1175
297	497	1171
298	498	1168
299	499	1164
300	500	1161
301	500	1157
302	501	1154
303	502	1151
304	504	1148
305	505	1145
306	505	1142
307	506	1138
308	507	1135
309	508	1131
310	509	1128
311	510	1125
312	511	1122
313	512	1119
314	513	1115
315	514	1112
316	514	1109
317	515	1106
318	517	1103
319	518	1101
320	519	1098
321	520	1095
322	521	1092
323	522	1089
324	523	1086
325	523	1083
326	524	1080
327	525	1077
328	526	1074
329	527	1071
330	528	1068
331	529	1065
332	530	1063
333	531	1060
334	533	1058
335	534	1056
336	535	1053
337	536	1051
338	537	1048
339	538	1046
340	540	1044
341	541	1042
342	542	1039
343	543	1036
344	544	1033
345	545	1031
346	546	1028
347	547	1025
348	548	1023
349	549	1020
350	550	1018
351	551	1015
352	552	1012
353	553	1010
354	554	1007
355	555	1004
356	556	1001
357	557	999
358	558	996
359	558	993
360	559	990
361	560	987
362	561	985
363	562	982
364	563	980
365	564	977
366	565	975
367	566	972
368	567	969
369	568	967
370	568	964
371	569	961
372	570	959
373	571	956
374	572	954
375	573	951
376	574	949
377	575	946
378	575	943
379	576	941
380	577	938
381	578	936
382	580	934
383	580	931
384	581	929
385	582	926
386	583	924
387	584	921
388	585	919
389	586	916
390	587	914
391	588	912
392	589	909
393	589	907
394	590	904
395	591	902
396	592	900
397	593	897
398	594	895
399	595	893
400	596	891
401	597	888
402	598	886
403	599	883
404	600	881
405	601	879
406	601	876
407	602	874
408	603	872
409	604	869
410	605	867
411	606	865
412	607	863
413	608	861
414	609	859
415	610	857
416	611	854
417	612	852
418	613	850
419	614	847
420	614	845
421	615	843
422	616	841
423	617	839
424	618	836
425	619	834
426	620	832
427	621	830
428	622	828
429	623	826
430	624	824
431	625	822
432	626	820
433	627	818
434	628	816
435	629	814
436	630	812
437	631	810
438	632	808
439	633	805
440	634	803
441	634	801
442	635	799
443	636	797
444	637	795
445	638	793
446	639	791
447	640	789
448	641	787
449	642	785
450	643	783
451	644	781
452	645	779
453	646	777
454	647	775
455	648	773
456	649	771
457	650	769
458	650	767
459	651	765
460	652	763
461	654	761
462	655	759
463	656	758
464	657	756
465	658	754
466	659	752
467	660	750
468	661	748
469	662	746
470	662	744
471	663	742
472	664	740
473	665	738
474	666	736
475	667	734
476	668	733
477	670	731
478	671	730
479	672	728
480	673	726
481	674	725
482	675	723
483	676	721
484	677	719
485	678	717
486	679	715
487	680	713
488	681	711
489	681	709
490	682	708
491	684	706
492	684	704
493	685	702
494	686	700
495	687	698
496	688	696
497	689	694
498	690	693
499	691	691
500	692	689
501	693	687
502	693	685
503	694	683
504	695	681
505	696	679
506	697	677
507	698	676
508	699	674
509	700	672
510	701	670
511	702	669
512	703	667
513	703	665
514	704	663
515	705	661
516	706	660
517	707	658
518	708	656
519	709	654
520	710	652
521	710	650
522	712	649
523	713	647
524	714	646
525	715	644
526	716	642
527	717	641
528	718	639
529	719	637
530	719	635
531	720	634
532	721	632
533	722	630
534	723	628
535	724	626
536	725	625
537	726	623
538	727	621
539	728	620
540	729	618
541	730	617
542	731	615
543	732	613
544	733	612
545	734	610
546	735	608
547	736	607
548	736	605
549	737	603
550	738	602
551	739	600
552	740	598
553	741	596
554	742	595
555	743	593
556	744	592
557	746	591
558	747	589
559	748	587
560	748	586
561	749	584
562	750	582
563	751	581
564	752	579
565	753	577
566	754	576
567	755	574
568	756	573
569	757	571
570	758	570
571	760	568
572	761	567
573	762	565
574	763	564
575	764	562
576	765	560
577	765	559
578	766	557
579	767	555
580	768	554
581	769	552
582	770	550
583	771	549
584	772	547
585	772	546
586	773	544
587	775	543
588	776	541
589	777	540
590	778	538
591	779	537
592	780	535
593	781	534
594	782	532
595	783	530
596	784	529
597	785	527
598	786	526
599	787	524
600	788	523
601	789	521
602	790	520
603	791	518
604	792	517
605	793	515
606	794	514
607	795	512
608	796	511
609	797	509
610	798	508
611	798	506
612	799	504
613	800	503
614	801	501
615	802	500
616	803	498
617	804	497
618	805	495
619	806	494
620	807	492
621	808	491
622	809	489
623	810	488
624	811	486
625	811	485
626	812	483
627	813	481
628	814	480
629	815	478
630	816	477
631	816	475
632	817	474
633	818	472
634	819	471
635	820	469
636	821	468
637	822	466
638	823	465
639	824	463
640	824	461
641	825	460
642	826	458
643	827	457
644	828	455
645	829	454
646	829	452
647	830	451
648	831	449
649	832	448
650	833	446
651	834	445
652	835	443
653	836	442
654	837	440
655	837	439
656	838	437
657	839	436
658	840	434
659	841	433
660	841	431
661	842	430
662	843	428
663	844	427
664	845	425
665	845	424
666	846	422
667	847	421
668	848	419
669	848	418
670	849	416
671	850	415
672	851	413
673	852	412
674	853	410
675	854	409
676	854	407
677	855	406
678	856	404
679	857	403
680	858	402
681	859	400
682	860	399
683	860	397
684	861	396
685	862	394
686	863	393
687	864	391
688	865	390
689	865	389
690	866	387
691	867	386
692	868	384
693	868	383
694	869	381
695	870	380
696	871	378
697	871	377
698	872	375
699	873	374
700	874	372
701	874	371
702	875	369
703	876	368
704	877	367
705	878	365
706	879	364
707	880	363
708	881	361
709	882	360
710	883	358
711	883	357
712	884	356
713	885	354
714	886	353
715	887	351
716	887	350
717	888	349
718	889	347
719	890	346
720	891	344
721	892	343
722	892	342
723	893	340
724	894	339
725	895	337
726	896	336
727	897	335
728	897	333
729	898	332
730	899	330
731	900	329
732	900	328
733	901	326
734	902	325
735	903	323
736	904	322
737	905	321
738	905	319
739	906	318
740	907	317
741	907	315
742	908	314
743	909	312
744	910	311
745	911	310
746	911	308
747	912	307
748	913	306
749	914	304
750	914	303
751	915	301
752	916	300
753	917	299
754	918	297
755	918	296
756	919	295
757	920	293
758	921	292
759	921	291
760	922	289
761	923	288
762	924	287
763	925	285
764	926	284
765	926	283
766	927	281
767	928	280
768	929	279
769	930	277
770	930	276
771	931	275
772	932	273
773	933	272
774	933	271
775	934	269
776	935	268
777	936	267
778	936	265
779	937	264
780	938	263
781	939	261
782	940	260
783	941	259
784	942	258
785	943	256
786	944	255
787	945	254
788	946	252
789	946	251
790	947	250
791	948	249
792	949	247
793	950	246
794	950	245
795	951	243
796	952	242
797	953	241
798	954	240
799	955	238
800	956	237
801	957	236
802	957	235
803	958	233
804	959	232
805	960	231
806	961	229
807	962	228
808	963	227
809	964	226
810	964	224
811	965	223
812	966	222
813	967	221
814	968	219
815	969	218
816	970	217
817	971	216
818	972	214
819	973	213
820	974	212
821	974	211
822	975	209
823	976	208
824	977	207
825	978	206
826	978	204
827	979	203
828	980	202
829	981	200
830	981	199
831	982	198
832	983	197
833	984	195
834	985	194
835	986	193
836	986	192
